date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:14:13	4248/4248	---M-Z	200	added ('OK')	application/javascript	etag:%221098-5c03df40fb1da-gzip%22	https://preview.colorlib.com/theme/kayelux/js/main.js	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/js/main.js	(from https://preview.colorlib.com/theme/kayelux/)
08:14:13	2260/2260	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202024%2002:39:46%20GMT	https://preview.colorlib.com/theme/kayelux/fonts/flaticon/font/Flaticon.eot	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/kayelux/css/flaticon.css)
08:14:14	2260/2260	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202024%2002:39:47%20GMT	https://preview.colorlib.com/theme/kayelux/fonts/flaticon/font/Flaticon.eot?	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/kayelux/css/flaticon.css)
08:14:15	2260/2260	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202024%2002:39:48%20GMT	https://preview.colorlib.com/theme/kayelux/fonts/flaticon/font/Flaticon.woff	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/kayelux/css/flaticon.css)
08:14:15	2260/2260	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202024%2002:39:48%20GMT	https://preview.colorlib.com/theme/kayelux/fonts/flaticon/font/Flaticon.ttf	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/kayelux/css/flaticon.css)
08:14:16	2260/2260	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202024%2002:39:49%20GMT	https://preview.colorlib.com/theme/kayelux/fonts/flaticon/font/Flaticon.svg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/kayelux/css/flaticon.css)
08:14:19	392291/392291	---M--	200	added ('OK')	image/jpeg	etag:%225fc63-5c03df2f7da10%22	https://preview.colorlib.com/theme/kayelux/images/image_6.jpg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/images/image_6.jpg	(from https://preview.colorlib.com/theme/kayelux/gallery.html)
08:14:19	1197804/1197804	---M--	200	added ('OK')	image/jpeg	etag:%221246ec-5c03df2d82cc8%22	https://preview.colorlib.com/theme/kayelux/images/image_5.jpg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/images/image_5.jpg	(from https://preview.colorlib.com/theme/kayelux/gallery.html)
08:14:21	396733/396733	---M--	200	added ('OK')	image/jpeg	etag:%2260dbd-5c03df2d4834b%22	https://preview.colorlib.com/theme/kayelux/images/image_7.jpg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/images/image_7.jpg	(from https://preview.colorlib.com/theme/kayelux/gallery.html)
08:14:22	388831/388831	---M--	200	added ('OK')	image/jpeg	etag:%225eedf-5c03df10bcac9%22	https://preview.colorlib.com/theme/kayelux/images/image_8.jpg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/images/image_8.jpg	(from https://preview.colorlib.com/theme/kayelux/gallery.html)
